141 124 66 83 96 97 98 99 91 88 106 135 131 159 85 35
122 117 62 80 93 95 120 161 137 77 95 126 113 146 54 13
77 117 60 79 84 90 111 165 211 141 90 80 102 67 13 79
73 118 58 85 84 90 128 170 187 205 136 88 164 39 47 141
77 125 56 94 95 93 135 155 163 168 179 199 178 30 109 142
81 127 52 97 121 98 99 79 86 159 181 159 68 52 145 134
81 126 57 82 123 76 42 37 135 183 137 70 20 101 150 136
76 127 61 84 88 37 29 122 123 161 137 38 39 133 139 126
70 129 67 88 63 32 76 128 81 132 77 41 68 140 126 136
53 126 77 67 42 57 85 102 136 129 101 41 102 131 137 193
55 131 67 60 62 82 45 93 111 129 72 46 128 122 170 207
52 139 62 56 106 60 23 74 103 102 24 65 140 124 188 217
53 133 55 56 96 42 22 48 111 134 60 66 118 106 186 110
91 131 51 34 78 78 26 68 104 154 184 90 115 135 145 49
86 135 44 25 62 63 40 86 105 122 190 145 95 166 104 60
102 137 41 29 58 34 50 98 107 109 170 162 60 115 61 60
