113 101 76 87 95 96 97 97 93 93 105 111 108 128 92 67
102 97 76 84 92 98 121 150 132 87 100 112 97 119 80 59
83 100 74 85 87 97 113 155 196 143 94 89 95 81 57 100
81 103 74 88 90 98 126 161 176 194 131 96 158 73 79 130
82 103 71 91 92 100 131 147 153 163 168 184 172 69 119 130
84 104 70 92 107 106 114 116 113 149 170 150 88 84 135 125
84 104 73 86 110 99 88 88 146 165 139 89 58 110 135 127
82 108 76 86 100 84 78 127 126 151 136 73 73 126 128 123
79 109 81 104 109 86 95 126 96 131 96 77 90 124 120 125
73 106 97 122 91 84 97 107 132 128 112 74 103 123 120 144
73 110 93 114 102 100 71 98 110 125 93 75 119 115 132 167
74 119 93 113 140 84 60 85 104 111 63 84 125 115 151 170
78 116 86 108 143 81 63 71 112 131 86 86 115 108 149 103
109 115 83 81 128 116 62 82 104 136 166 98 113 118 116 74
102 115 79 70 110 102 66 91 101 112 171 138 98 132 94 81
113 114 77 74 104 73 65 95 103 101 152 157 74 98 78 86
